"StartDate","EndDate","Status","Duration..in.seconds.","Progress","RecordedDate","ResponseId","UserLanguage","DistributionChannel"
"Start Date","End Date","Response Type","Duration (in seconds)","Progress","Recorded Date","Response ID","User Language","Distribution Channel"
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""duration""}","{""ImportId"":""progress""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""userLanguage""}","{""ImportId"":""distributionChannel""}"
"2025-03-20 17:40:04","2025-03-20 17:41:03","IP Address","58","60","2025-04-20 18:41:09","R_5Vx8tluMVP9LW3W","EN","email"
"2025-03-20 11:00:33","2025-03-21 01:22:30","IP Address","51716","93","2025-04-21 02:22:33","R_5mQ3LnBSAd97FIH","EN","email"
"2025-03-21 09:27:28","2025-03-21 09:31:59","IP Address","271","93","2025-04-21 10:32:07","R_4KPhn5mn6mVTYDx","EN","email"
"2025-03-20 19:10:09","2025-03-21 17:07:30","IP Address","79040","67","2025-04-21 18:07:31","R_2g5HIFI15zzrPcm","EN","email"
"2025-04-22 17:51:56","2025-04-22 17:55:52","IP Address","236","100","2025-04-22 17:55:56","R_12eUDKHd0Rzx5Ro","EN","email"
"2025-03-25 14:17:14","2025-03-25 14:19:15","IP Address","121","80","2025-04-25 15:19:16","R_2fVnwT8WtpbwAhj","EN","email"
"2025-03-25 15:17:10","2025-03-25 15:21:41","IP Address","270","93","2025-04-25 16:21:50","R_2drQgVGE74s73Cv","EN","email"
"2025-03-25 17:26:32","2025-03-25 17:27:42","IP Address","69","60","2025-04-25 18:27:44","R_7mwMB1u2IUYrhui","EN","email"
"2025-03-25 18:24:18","2025-03-25 18:25:13","IP Address","55","60","2025-04-25 19:25:15","R_32uCKlgiaZeSQff","EN","email"
"2025-03-25 22:28:52","2025-03-25 22:29:36","IP Address","44","20","2025-04-25 23:29:44","R_2VVFaJaIUSkl6aR","EN","email"
"2025-03-26 01:22:09","2025-03-26 01:28:51","IP Address","402","93","2025-04-26 02:28:52","R_4CHqLRcrTbslbtm","EN","email"
"2025-03-26 08:18:20","2025-03-26 08:19:03","IP Address","42","33","2025-04-26 09:19:05","R_94uTB7vgENRKecC","EN","email"
